Player;Team;Wins;Losses;KDA;Kill;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Frankfurt_Result;Changed_Teams
OG.N0tail;OG Dota2;28;10;4.77;7.18;3.47;9.37;227.97;11.34;536;532;1;1;EU;1;1
OG.Miracle-;OG Dota2;28;10;4.21;7.89;3.84;8.26;288.24;12.42;610;578;2;1;EU;1;1
OG.Moon;OG Dota2;28;10;3.66;4.92;4.37;11.08;130.16;2.66;390;399;3;1;AM;1;1
OG.Cr1t;OG Dota2;28;10;3.45;2.97;4.24;11.63;55.13;2.21;286;316;4;1;EU;1;1
OG.Fly;OG Dota2;28;10;3.29;2.53;3.89;10.29;50;3.47;273;286;5;1;EU;1;1
VEG.Black^;Fnatic;14;7;5.28;6.71;2.52;6.62;314.57;10.48;629;531;1;1;EU;14;1
Fnatic.MuShi-;Fnatic;14;7;3;5.48;4;6.52;210.57;13.62;484;483;2;1;SEA;14;0
Fnatic.Dj;Fnatic;14;7;2.82;3.95;4.05;7.48;143.14;3.81;390;433;3;1;SEA;14;1
Fnatic.Net;Fnatic;14;7;2.31;1.71;4.19;7.95;69.76;2.38;293;280;4;1;SEA;14;1
Fnatic.Ohaiyo`;Fnatic;14;7;2.23;2.86;5.38;9.14;103.1;3.33;345;366;5;1;SEA;14;0
Mski.ryOyr;Mineski.Sports5;18;10;4.01;3.75;3.46;10.14;142;7.07;402;446;1;1;SEA;10;1
Mski.raging-_-potato;Mineski.Sports5;18;10;3.68;8.46;4.39;7.71;237.75;11.64;550;558;2;1;SEA;10;0
TNC.Kuku;Mineski.Sports5;18;10;3.36;7.5;4.5;7.61;206.71;10.79;541;515;3;1;SEA;10;0
Mski.JessieVash;Mineski.Sports5;18;10;3.28;2.61;3.86;10.04;37.18;1.21;279;270;4;1;SEA;10;0
Mski.Julz*;Mineski.Sports5;18;10;2.27;2.14;4.5;8.07;52.29;2.68;276;298;5;1;SEA;10;0
Secret.EternaLEnVy;Team Secret;11;6;5.27;7.94;3.24;9.12;349.12;10.24;569;536;1;2;AM;2;1
DC.w33;Team Secret;11;6;3.79;8.59;4.59;8.82;235.76;13.47;509;509;2;2;EU;2;1
DC.MISERY;Team Secret;11;6;2.43;2.71;5.71;11.18;107.35;5.29;329;357;3;2;EU;2;1
Secret.Puppey;Team Secret;11;6;2.3;2.47;4.82;8.65;83;6.41;292;294;4;2;EU;2;0
Secret.pieliedie;Team Secret;11;6;2.19;2.41;5.59;9.82;56.71;3.24;284;279;5;2;EU;2;1
Newbee.Hao;Newbee;13;7;4.4;7.75;3.65;8.3;359.8;26.2;613;579;1;1;CN;15;1
Newbee.Mu;Newbee;13;7;4.05;8.1;4.2;8.9;248.45;16.5;512;524;2;1;CN;15;0
Newbee.Y.2Lei;Newbee;13;7;4.03;4.1;3.85;11.4;111.85;1.8;349;396;3;1;CN;15;1
