Player;Team;Wins;Losses;KDA;Kill;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Manila_Result
Newbee.kpii;Newbee;25;5;7.77;2.9;2.07;13.17;177.83;4.8;446;424;1;1;CN;3
Newbee.Mu;Newbee;25;5;7.56;6.7;2.2;9.93;208.53;13.27;574;519;2;1;CN;3
Newbee.Hao;Newbee;25;5;7.24;8.37;2.33;8.53;267.27;19.93;606;569;3;1;CN;3
Newbee.ChuaN;Newbee;25;5;5.81;2.93;2.6;12.17;50.63;2.17;293;312;4;1;CN;3
Newbee.kaka;Newbee;25;5;4.36;2.77;3.8;13.8;59.17;1.37;321;322;5;1;CN;3
DC.Resolut1on;Digital Chaos;20;9;7.79;5.97;1.79;8;258.48;13.55;571;519;1;1;EU;11
DC.w33;Digital Chaos;20;9;5.8;5.03;2.24;7.97;251.66;9.41;591;545;2;1;EU;11
DC.Saksa;Digital Chaos;20;9;4.62;2.59;2.79;10.31;64.31;2.55;307;295;3;1;AM;11
DC.Moo;Digital Chaos;20;9;3.86;3.34;3.31;9.45;152.38;4.24;426;399;4;1;AM;11
DC.MISERY;Digital Chaos;20;9;3.68;2.45;3.41;10.1;70.24;1.62;302;300;5;1;EU;11
LGD.Maybe;LGD-GAMING;11;7;7.04;11.11;3;10;377.67;11.61;662;631;1;2;CN;4
LGD.Agressif;LGD-GAMING;11;7;4.93;8.28;4.06;11.72;341.83;20;578;557;2;2;CN;4
LGD.xiao8;LGD-GAMING;11;7;3.44;2.22;5.22;15.72;178.28;4.11;378;399;3;2;CN;4
LGD.MMY!;LGD-GAMING;11;7;3.41;2.56;4.61;13.17;39.33;3.39;248;255;4;2;CN;4
LGD.Sep;LGD-GAMING;11;7;2.81;2.5;6;14.33;63.56;1.11;280;283;5;2;CN;4
awraawr;Mineski.Sports5;16;10;4.8;5.5;3.46;11.12;231.73;8.85;569;519;1;1;SEA;0
Tilted;Mineski.Sports5;16;10;4.41;3.5;3.85;13.46;202.19;4.62;460;443;2;1;SEA;0
Mski.raging-_-potato;Mineski.Sports5;16;10;3.71;7.77;4.35;8.35;283.92;12.35;595;578;3;1;SEA;0
Mski.Julz*;Mineski.Sports5;16;10;3.4;3.38;4.65;12.42;90.54;1.69;346;353;4;1;SEA;0
Banana Pancake;Mineski.Sports5;16;10;2.95;2;4.23;10.5;37.92;1.54;269;287;5;1;SEA;0
Raven;TNC Pro Team;11;5;6.91;5.63;2;8.19;270.94;16.69;594;526;1;0;SEA;0
Sam H;TNC Pro Team;11;5;6.08;2.63;2.31;11.44;102.88;10.56;349;384;2;0;SEA;0
Teehee;TNC Pro Team;11;5;4.49;7.13;3.44;8.31;193.88;16.69;500;520;3;0;SEA;0
Eyyou;TNC Pro Team;11;5;4.4;2.88;3.44;12.25;69.94;3.06;314;338;4;0;SEA;0
TNC.Kuku;TNC Pro Team;11;5;3.31;3.44;4;9.81;51.06;2.63;291;309;5;0;SEA;0
Liquid.MinD_ContRoL;Team Liquid;15;8;4.84;3.87;3.7;14;178.91;2.61;405;429;1;2;EU;2
Liquid.MATUMBAMAN;Team Liquid;15;8;4.78;8.13;3.87;10.35;263.52;9;539;521;2;2;EU;2
Liquid.FATA-;Team Liquid;15;8;4.52;6.57;3.96;11.3;294.09;8.83;584;532;3;2;EU;2
Liquid.JerAx;Team Liquid;15;8;3.86;2.74;4.48;14.57;56.57;2.09;286;340;4;2;EU;2
Liquid.KuroKy;Team Liquid;15;8;2.92;3.22;5.7;13.43;73;0.91;293;319;5;2;EU;2
Empire.Ramzes666;Team Empire;16;15;4.37;8.32;4.16;9.87;307.58;12.81;585;551;1;1;EU;12
Empire.Afterlife;Team Empire;16;15;3.54;4.29;4.68;12.26;205.19;2.06;452;432;2;1;EU;12
Empire.Miposhka;Team Empire;16;15;3.47;3.03;5.03;14.42;76.58;2.65;324;311;3;1;EU;12
Empire.Scandal;Team Empire;16;15;3.24;5.03;4.77;10.42;208.61;11.03;451;448;4;1;EU;12
Empire.KingR?!;Team Empire;16;15;2.82;3.52;5.74;12.68;37.77;2.32;276;276;5;1;EU;12
syeonix;Orange.Taring;9;6;7.35;8.27;2.67;11.33;338.8;9.6;576;531;1;1;SEA;0
Taring.YamateH;Orange.Taring;9;6;7.33;8.4;2.8;12.13;269.87;11.4;528;510;2;1;SEA;0
Nj;Orange.Taring;9;6;3.94;3.2;4.33;13.87;186;3.67;402;434;3;1;SEA;0
Ice;Orange.Taring;9;6;3.32;2.73;5.13;14.33;69.73;1.27;283;297;4;1;SEA;0
Taring.ling;Orange.Taring;9;6;3;3.47;5.6;13.33;69.13;3;278;316;5;1;SEA;0
OG.Miracle-;OG Dota2;13;5;4.87;8.72;3.39;7.78;227.67;16.39;561;542;1;2;EU;1
OG.N0tail;OG Dota2;13;5;4.63;4.78;3.17;9.89;260.06;9.44;585;528;2;2;EU;1
OG.Moon;OG Dota2;13;5;4.63;3.06;3.11;11.33;138.28;2.94;380;390;3;2;AM;1
OG.Fly;OG Dota2;13;5;3.66;2.56;3.78;11.28;61.39;3;291;297;4;2;EU;1
OG.Cr1t;OG Dota2;13;5;3.57;2.44;4.22;12.61;39.28;1.17;271;293;5;2;EU;1
AF.Madara;Team AD FINEM;12;7;5.24;7.74;3.89;12.68;264.63;9.11;559;527;1;1;EU;0
AF.ThuG;Team AD FINEM;12;7;4.9;8.16;4.26;12.74;275.11;9.05;582;547;2;1;EU;0
AF.SkyLark;Team AD FINEM;12;7;4.71;4.89;4;13.95;174.32;6.05;419;396;3;1;EU;0
AF.Maybe Next Time;Team AD FINEM;12;7;3.28;3.21;5.58;15.11;32.84;1.68;292;301;4;1;EU;0
AF.SsaSpartan;Team AD FINEM;12;7;2.48;3.89;6.95;13.32;57.32;2.63;303;319;5;1;EU;0
MSS;Shazam~;10;6;6.19;7.38;3;11.19;251.38;7.88;576;517;1;1;AM;0
TC;Shazam~;10;6;5.62;6.5;2.94;10;243.13;17.75;520;484;2;1;AM;0
Shazam.SVG;Shazam~;10;6;5.51;3.75;3.19;13.81;85.25;1.25;313;320;3;1;AM;0
BRAX;Shazam~;10;6;4.5;2.69;3.25;11.94;158.19;4.38;369;375;4;1;AM;0
