"Player","Team","Wins","Losses","KDA","Kill","Death","Assists","LH","DN","GPM","XPM","Position","Inv_Status","Region","Tournament_Result","Changed_Teams","Total_Games"
"goddam","_PowerRangers",3,5,4.17,5.5,3,7,278.75,11.38,550,516,1,1,"EU",0,1,8
"chshrct","_PowerRangers",3,5,2.42,2.5,3.88,6.88,216.75,4.63,454,433,2,1,"EU",0,1,8
"Ar1sE-","_PowerRangers",3,5,4.52,3.88,2.63,8,167.63,13,391,435,3,1,"EU",0,1,8
"Bignum","_PowerRangers",3,5,2.66,1.88,4,8.75,86.75,2.38,280,265,4,1,"EU",0,1,8
"j4","_PowerRangers",3,5,2.13,2.88,5,7.75,43.88,3.25,246,259,5,1,"EU",0,1,8
"n0tail","Acion Arena Pro Team",1,7,2.54,7.75,6,7.5,336.63,14.25,576,483,1,1,"SEA",0,1,8
"Armel!","Acion Arena Pro Team",1,7,2.33,5.75,7.13,10.88,228,6.63,480,458,2,1,"SEA",0,1,8
"skemberlulu","Acion Arena Pro Team",1,7,2.35,3,6.5,12.25,182.5,5.13,386,382,3,1,"SEA",0,1,8
"FLYSOLO","Acion Arena Pro Team",1,7,1.9,2,7.75,12.75,62.38,1,275,309,4,1,"SEA",0,1,8
"Shadow Priest","Acion Arena Pro Team",1,7,1.69,3,7.38,9.5,38,2.63,235,233,5,1,"SEA",0,1,8
"Alliance.AdmiralBulldog","Alliance",6,6,3.07,5.58,4.75,9,290,8.67,523,490,1,2,"EU",10,0,12
"Alliance.Lod[A].HyperX","Alliance",6,6,3.16,3.75,4.58,10.75,300.58,13.17,487,469,2,2,"EU",10,0,12
"Alliance.s4","Alliance",6,6,2.88,7.25,5.58,8.83,266.92,8,469,482,3,2,"EU",10,0,12
"Alliance.EGM","Alliance",6,6,2.41,2.42,6.25,12.67,59.67,3.25,251,286,4,2,"EU",10,0,12
"Alliance.Akke","Alliance",6,6,2.05,1.83,6.17,10.83,53.92,2.33,241,249,5,2,"EU",10,0,12
