Player,Team,Wins,Losses,KDA,Kill,Death,Assists,LH,DN,GPM,XPM,Shanghai_Result
Liquid.MATUMBAMAN,Team Liquid,23.0,10.0,5.38,8.82,3.15,8.15,337.09,11.91,641.0,597.0,2.0
Liquid.FATA-,Team Liquid,23.0,10.0,4.31,6.3,3.58,9.12,245.55,10.97,538.0,525.0,2.0
Liquid.MinD_ContRoL,Team Liquid,23.0,10.0,3.09,3.42,4.52,10.52,171.3,3.64,416.0,394.0,2.0
Liquid.JerAx,Team Liquid,23.0,10.0,2.76,2.97,5.64,12.58,53.09,2.27,295.0,312.0,2.0
Liquid.KuroKy,Team Liquid,23.0,10.0,2.24,2.76,5.82,10.3,52.27,0.88,287.0,295.0,2.0
coL.Chessie,compLexity Gaming,17.0,11.0,5.02,6.39,2.93,8.32,255.07,13.04,546.0,518.0,5.0
coL.Limmp,compLexity Gaming,17.0,11.0,3.91,6.43,3.68,7.96,257.93,11.93,515.0,477.0,5.0
coL.swindlezz,compLexity Gaming,17.0,11.0,3.21,2.96,3.64,8.71,216.11,8.0,453.0,471.0,5.0
coL.Zfreek,compLexity Gaming,17.0,11.0,2.63,2.46,3.86,7.68,67.54,3.46,292.0,291.0,5.0
coL.Handsken,compLexity Gaming,17.0,11.0,2.28,2.21,4.86,8.86,40.82,3.04,265.0,284.0,5.0
MVP.MP,MVP Phoenix,18.0,10.0,4.67,6.29,3.04,7.89,164.14,13.75,512.0,475.0,4.0
MVP.QO,MVP Phoenix,18.0,10.0,3.83,6.79,3.86,8.0,187.71,10.5,555.0,533.0,4.0
MVP.FoREv,MVP Phoenix,18.0,10.0,3.63,4.0,3.64,9.21,139.36,3.61,449.0,417.0,4.0
MVP.Febby,MVP Phoenix,18.0,10.0,3.02,2.57,4.04,9.61,42.18,0.43,302.0,298.0,4.0
DuBu,MVP Phoenix,18.0,10.0,2.32,1.96,4.96,9.54,15.39,1.18,250.0,228.0,4.0
VG.Sylar,LGD-GAMING,16.0,8.0,4.9,6.04,2.83,7.83,309.25,14.88,589.0,562.0,10.0
LGD.Maybe,LGD-GAMING,16.0,8.0,4.53,7.38,3.25,7.33,262.33,13.67,515.0,492.0,10.0
LGD.MMY!,LGD-GAMING,16.0,8.0,3.37,2.13,3.63,10.08,41.83,1.46,255.0,253.0,10.0
VG.R.ddc,LGD-GAMING,16.0,8.0,3.11,2.58,3.54,8.42,57.08,3.42,270.0,268.0,10.0
VG.rOtk,LGD-GAMING,16.0,8.0,2.46,2.0,4.54,9.17,165.67,3.58,370.0,372.0,10.0
Fnatic.MidOne,Fnatic,17.0,11.0,4.5,6.71,3.75,10.18,190.43,17.79,510.0,504.0,6.0
Fnatic.MuShi-,Fnatic,17.0,11.0,4.18,6.46,3.5,8.18,282.57,16.21,579.0,545.0,6.0
Fnatic.Ohaiyo`,Fnatic,17.0,11.0,3.93,4.04,3.75,10.71,162.96,2.57,440.0,435.0,6.0
Fnatic.Dj,Fnatic,17.0,11.0,3.03,4.11,4.43,9.32,77.25,1.32,344.0,313.0,6.0
Fnatic.Net,Fnatic,17.0,11.0,2.75,2.75,4.57,9.82,37.04,2.14,283.0,275.0,6.0
Newbee.Mu,Newbee,15.0,11.0,4.51,5.96,3.31,8.96,256.0,14.19,502.0,484.0,12.0
Newbee.Hao,Newbee,15.0,11.0,4.23,7.42,3.46,7.23,368.15,19.23,618.0,556.0,12.0
Newbee.Y.2Lei,Newbee,15.0,11.0,4.14,3.04,3.35,10.81,126.81,2.46,341.0,359.0,12.0
Newbee.ChuaN,Newbee,15.0,11.0,3.41,2.92,3.65,9.54,82.65,2.31,292.0,293.0,12.0
Newbee.Y.Le,Newbee,15.0,11.0,2.4,2.0,4.54,8.88,43.65,1.77,245.0,265.0,12.0
Secret.BuLba,Digital Chaos,11.0,6.0,5.94,3.59,1.94,7.94,149.0,8.18,420.0,386.0,0.0
TC,Digital Chaos,11.0,6.0,5.32,3.29,2.0,7.35,206.0,17.24,509.0,468.0,0.0
EG.Aui_2000,Digital Chaos,11.0,6.0,3.93,2.24,2.53,7.71,70.59,1.65,316.0,279.0,0.0
DC.YS,Digital Chaos,11.0,6.0,3.81,5.41,3.18,6.71,184.12,10.47,503.0,476.0,0.0
Secret.1437,Digital Chaos,11.0,6.0,3.38,3.12,3.12,7.41,52.06,2.82,305.0,294.0,0.0
EG.Universe,Evil Geniuses,11.0,5.0,5.8,4.5,2.56,10.38,186.88,2.44,467.0,449.0,3.0
EG.Fear,Evil Geniuses,11.0,5.0,5.18,3.63,2.81,10.94,111.56,1.75,399.0,379.0,3.0
EG.Suma1L,Evil Geniuses,11.0,5.0,4.98,6.25,3.38,10.56,169.5,9.38,484.0,480.0,3.0
Secret.Arteezy,Evil Geniuses,11.0,5.0,4.81,7.13,2.94,7.0,281.63,7.75,607.0,582.0,3.0
EG.ppd,Evil Geniuses,11.0,5.0,3.53,2.75,3.75,10.5,45.88,1.38,308.0,318.0,3.0
DC.w33,Team Secret,12.0,7.0,5.18,7.58,2.89,7.42,210.84,11.95,534.0,521.0,1.0
