Player;Team;Wins;Losses;KDA;Kill;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Shanghai_Result
Liquid.MATUMBAMAN;Team Liquid;23;10;5.38;8.82;3.15;8.15;337.09;11.91;641;597;1;1;EU;2
Liquid.FATA-;Team Liquid;23;10;4.31;6.3;3.58;9.12;245.55;10.97;538;525;2;1;EU;2
Liquid.MinD_ContRoL;Team Liquid;23;10;3.09;3.42;4.52;10.52;171.3;3.64;416;394;3;1;EU;2
Liquid.JerAx;Team Liquid;23;10;2.76;2.97;5.64;12.58;53.09;2.27;295;312;4;1;EU;2
Liquid.KuroKy;Team Liquid;23;10;2.24;2.76;5.82;10.3;52.27;0.88;287;295;5;1;EU;2
coL.Chessie;compLexity Gaming;17;11;5.02;6.39;2.93;8.32;255.07;13.04;546;518;1;1;EU;5
coL.Limmp;compLexity Gaming;17;11;3.91;6.43;3.68;7.96;257.93;11.93;515;477;2;1;EU;5
coL.swindlezz;compLexity Gaming;17;11;3.21;2.96;3.64;8.71;216.11;8;453;471;3;1;AM;5
coL.Zfreek;compLexity Gaming;17;11;2.63;2.46;3.86;7.68;67.54;3.46;292;291;4;1;AM;5
coL.Handsken;compLexity Gaming;17;11;2.28;2.21;4.86;8.86;40.82;3.04;265;284;5;1;EU;5
MVP.MP;MVP Phoenix;18;10;4.67;6.29;3.04;7.89;164.14;13.75;512;475;1;1;SEA;4
MVP.QO;MVP Phoenix;18;10;3.83;6.79;3.86;8;187.71;10.5;555;533;2;1;SEA;4
MVP.FoREv;MVP Phoenix;18;10;3.63;4;3.64;9.21;139.36;3.61;449;417;3;1;SEA;4
MVP.Febby;MVP Phoenix;18;10;3.02;2.57;4.04;9.61;42.18;0.43;302;298;4;1;SEA;4
DuBu;MVP Phoenix;18;10;2.32;1.96;4.96;9.54;15.39;1.18;250;228;5;1;SEA;4
VG.Sylar;LGD-GAMING;16;8;4.9;6.04;2.83;7.83;309.25;14.88;589;562;1;1;CN;10
LGD.Maybe;LGD-GAMING;16;8;4.53;7.38;3.25;7.33;262.33;13.67;515;492;2;1;CN;10
LGD.MMY!;LGD-GAMING;16;8;3.37;2.13;3.63;10.08;41.83;1.46;255;253;3;1;CN;10
VG.R.ddc;LGD-GAMING;16;8;3.11;2.58;3.54;8.42;57.08;3.42;270;268;4;1;CN;10
VG.rOtk;LGD-GAMING;16;8;2.46;2;4.54;9.17;165.67;3.58;370;372;5;1;CN;10
Fnatic.MidOne;Fnatic;17;11;4.5;6.71;3.75;10.18;190.43;17.79;510;504;1;1;SEA;6
Fnatic.MuShi-;Fnatic;17;11;4.18;6.46;3.5;8.18;282.57;16.21;579;545;2;1;SEA;6
Fnatic.Ohaiyo`;Fnatic;17;11;3.93;4.04;3.75;10.71;162.96;2.57;440;435;3;1;SEA;6
Fnatic.Dj;Fnatic;17;11;3.03;4.11;4.43;9.32;77.25;1.32;344;313;4;1;SEA;6
Fnatic.Net;Fnatic;17;11;2.75;2.75;4.57;9.82;37.04;2.14;283;275;5;1;SEA;6
Newbee.Mu;Newbee;15;11;4.51;5.96;3.31;8.96;256;14.19;502;484;1;1;CN;12
Newbee.Hao;Newbee;15;11;4.23;7.42;3.46;7.23;368.15;19.23;618;556;2;1;CN;12
Newbee.Y.2Lei;Newbee;15;11;4.14;3.04;3.35;10.81;126.81;2.46;341;359;3;1;CN;12
Newbee.ChuaN;Newbee;15;11;3.41;2.92;3.65;9.54;82.65;2.31;292;293;4;1;CN;12
Newbee.Y.Le;Newbee;15;11;2.4;2;4.54;8.88;43.65;1.77;245;265;5;1;CN;12
Secret.BuLba;Digital Chaos;11;6;5.94;3.59;1.94;7.94;149;8.18;420;386;1;1;AM;0
TC;Digital Chaos;11;6;5.32;3.29;2;7.35;206;17.24;509;468;2;1;AM;0
EG.Aui_2000;Digital Chaos;11;6;3.93;2.24;2.53;7.71;70.59;1.65;316;279;3;1;AM;0
DC.YS;Digital Chaos;11;6;3.81;5.41;3.18;6.71;184.12;10.47;503;476;4;1;AM;0
Secret.1437;Digital Chaos;11;6;3.38;3.12;3.12;7.41;52.06;2.82;305;294;5;1;AM;0
EG.Universe;Evil Geniuses;11;5;5.8;4.5;2.56;10.38;186.88;2.44;467;449;1;2;AM;3
EG.Fear;Evil Geniuses;11;5;5.18;3.63;2.81;10.94;111.56;1.75;399;379;2;2;AM;3
EG.Suma1L;Evil Geniuses;11;5;4.98;6.25;3.38;10.56;169.5;9.38;484;480;3;2;AM;3
Secret.Arteezy;Evil Geniuses;11;5;4.81;7.13;2.94;7;281.63;7.75;607;582;4;2;AM;3
EG.ppd;Evil Geniuses;11;5;3.53;2.75;3.75;10.5;45.88;1.38;308;318;5;2;AM;3
DC.w33;Team Secret;12;7;5.18;7.58;2.89;7.42;210.84;11.95;534;521;1;2;EU;1
Secret.EternaLEnVy;Team Secret;12;7;5.1;6.68;2.68;7;249.95;9.79;571;583;2;2;AM;1
DC.MISERY;Team Secret;12;7;3.52;3;3.95;10.89;195.32;3.53;451;432;3;2;EU;1
Secret.Puppey;Team Secret;12;7;3.34;2.32;3.68;10;115.11;4.05;357;352;4;2;EU;1
Secret.pieliedie;Team Secret;12;7;3.06;2.32;3.42;8.16;47.79;2.05;275;287;5;2;EU;1
TSpirit.Iceberg;Team. Spirit;14;9;4.38;9.17;4.09;8.74;274.91;21.74;574;543;1;1;EU;14
Empire.Afterlife;Team. Spirit;14;9;4.12;3.78;3.17;9.3;181.39;4.43;418;437;2;1;EU;14
Empire.Ramzes666;Team. Spirit;14;9;4.07;5.83;3.61;8.87;320.74;10.26;571;538;3;1;EU;14
TSpirit.Goblak;Team. Spirit;14;9;1.91;2.22;4.83;7;100.26;1.96;300;283;4;1;EU;14
TSpirit.ALWAYSWANAMFLY;Team. Spirit;14;9;1.9;2.09;6.22;9.7;39.39;2.78;267;288;5;1;EU;14
iG.qd;iG.Vitality;8;6;5.97;7.29;2.64;8.5;254;19.14;573;543;1;1;CN;0
Komuro Takashi-;iG.Vitality;8;6;4.58;4.86;3.07;9.21;186;11.29;475;491;2;1;CN;0
